name_of_contributor,payment_type,city,state,zip,id_number,employer,occupation,amount,transaction_date,filed_date,transaction_number,committee_name,position
SUN SURETY INSURANCE COMPANY,MONETARY,RAPID CITY,SD,57701,,,,$555.00,12/23/2019,1/30/2020,2439370 - INC141,CALIFORNIANS FOR BAIL REFORM,oppose
BANKERS INSURANCE COMPANY,MONETARY,ST. PETERSBURG,FL,33716,1415528,,,"$26,214.00",12/26/2019,1/30/2020,2439370 - INC142,CALIFORNIANS FOR BAIL REFORM,oppose
AIA HOLDINGS INC.,MONETARY,CALABASAS,CA,91302,,,,"$14,012.00",12/24/2019,1/30/2020,2439370 - INC143,CALIFORNIANS FOR BAIL REFORM,oppose
UNIVERSAL FIRE & CASUALTY INSURANCE COMPANY,MONETARY,HUDSONVILLE,MI,49426,,,,$464.00,12/27/2019,1/30/2020,2439370 - INC144,CALIFORNIANS FOR BAIL REFORM,oppose
LEXINGTON NATIONAL INSURANCE CORPORATION,MONETARY,COCKEYSVILLE,MD,21030,,,,"$104,308.40",4/8/2019,7/31/2019,2397590 - INC78,CALIFORNIANS FOR BAIL REFORM,oppose
AMERICAN SURETY COMPANY,MONETARY,INDIANAPOLIS,IN,46240,499391,,,"$40,522.22",4/9/2019,7/31/2019,2397590 - INC79,CALIFORNIANS FOR BAIL REFORM,oppose
SEAVIEW INSURANCE COMPANY,MONETARY,CARLSBAD,CA,92011,,,,"$180,518.11",4/12/2019,7/31/2019,2397590 - INC80,CALIFORNIANS FOR BAIL REFORM,oppose
BANKERS INSURANCE COMPANY,MONETARY,ST. PETERSBURG,FL,33716,1415528,,,"$100,959.02",4/12/2019,7/31/2019,2397590 - INC90,CALIFORNIANS FOR BAIL REFORM,oppose
SUN SURETY INSURANCE COMPANY,MONETARY,RAPID CITY,SD,57701,,,,"$2,138.69",4/26/2019,7/31/2019,2397590 - INC92,CALIFORNIANS FOR BAIL REFORM,oppose
AIA HOLDINGS INC.,MONETARY,CALABASAS,CA,91302,,,,"$53,966.31",4/26/2019,7/31/2019,2397590 - INC93,CALIFORNIANS FOR BAIL REFORM,oppose
UNITED STATES FIRE INSURANCE COMPANY,MONETARY,MORRISTOWN,NJ,7962,,,,"$38,801.03",5/23/2019,7/31/2019,2397590 - INC94,CALIFORNIANS FOR BAIL REFORM,oppose
UNIVERSAL FIRE & CASUALTY INSURANCE COMPANY,MONETARY,HUDSONVILLE,MI,49426,,,,"$1,786.22",5/28/2019,7/31/2019,2397590 - INC96,CALIFORNIANS FOR BAIL REFORM,oppose
