date,payee,expenditure_code,description,amount,committee_name,position
02/18/2020,"NO NEW TAXES, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",CONTRIBUTION,,250000,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
05/22/2019,"HOWARD JARVIS TAXPAYERS ASSOCIATION COMMITEE TO REFORM LAUSD, NO ON EE",CONTRIBUTION,,75000,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
04/19/2019,"HOWARD JARVIS TAXPAYERS ASSOCIATION COMMITEE TO REFORM LAUSD, NO ON EE",CONTRIBUTION,,50000,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
09/10/2019,ADVANCED IMAGE DIRECT,CAMPAIGN LITERATURE AND MAILINGS,,25205,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
11/20/2019,ADVANCED IMAGE DIRECT,CAMPAIGN LITERATURE AND MAILINGS,,25101,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
06/16/2020,"DATA REPLY, INC.","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,22255,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
08/20/2019,"DATA REPLY, INC.","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,20409,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
11/04/2019,"DATA REPLY, INC.","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,18829,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
03/10/2020,ADVANCED IMAGE DIRECT,"POSTAGE, DELIVERY AND MESSENGER SERVICES",,14169,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
03/12/2020,ADVANCED IMAGE DIRECT,"POSTAGE, DELIVERY AND MESSENGER SERVICES",,14169,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
09/19/2019,ADVANCED IMAGE DIRECT,"POSTAGE, DELIVERY AND MESSENGER SERVICES",,13819,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
07/12/2019,ADVANCED IMAGE DIRECT,"POSTAGE, DELIVERY AND MESSENGER SERVICES",,13808,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
11/20/2019,"STEWARDSHIP MARKETING SERVICES, INC.",CAMPAIGN CONSULTANTS,,10591,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
09/10/2019,"STEWARDSHIP MARKETING SERVICES, INC.",CAMPAIGN CONSULTANTS,,10584,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
08/09/2019,"STEWARDSHIP MARKETING SERVICES, INC.",CAMPAIGN LITERATURE AND MAILINGS,,4000,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
10/04/2019,"STEWARDSHIP MARKETING SERVICES, INC.",CAMPAIGN LITERATURE AND MAILINGS,,4000,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
04/14/2020,"STEWARDSHIP MARKETING SERVICES, INC.",CAMPAIGN LITERATURE AND MAILINGS,,4000,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
08/09/2019,RESPONSE ENVELOPE,CAMPAIGN LITERATURE AND MAILINGS,,3983,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
10/04/2019,RESPONSE ENVELOPE,CAMPAIGN LITERATURE AND MAILINGS,,3983,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
04/14/2020,RESPONSE ENVELOPE,CAMPAIGN LITERATURE AND MAILINGS,,3950,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
04/14/2020,RESPONSE ENVELOPE,CAMPAIGN LITERATURE AND MAILINGS,,3589,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
09/05/2019,"DATA REPLY, INC.","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,3563,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
10/04/2019,RESPONSE ENVELOPE,CAMPAIGN LITERATURE AND MAILINGS,,3529,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
08/09/2019,RESPONSE ENVELOPE,CAMPAIGN LITERATURE AND MAILINGS,,3525,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
11/14/2019,"BELL, MCANDREWS, & HILTACHK, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,3344,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
11/18/2019,"DATA REPLY, INC.","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,2491,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
01/10/2020,"BELL, MCANDREWS, & HILTACHK, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,2232,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
02/13/2020,"BELL, MCANDREWS, & HILTACHK, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1991,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
10/03/2019,"DATA REPLY, INC.","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1946,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
10/10/2019,"BELL, MCANDREWS, & HILTACHK, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1945,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
09/12/2019,"BELL, MCANDREWS, & HILTACHK, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1901,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
09/10/2019,"STEWARDSHIP MARKETING SERVICES, INC.",CAMPAIGN CONSULTANTS,,1736,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
06/30/2020,PACE PAYMENT SYSTEMS,OFFICE EXPENSES,,1729,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
03/13/2019,"BELL, MCANDREWS, & HILTACHK, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1715,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
03/16/2020,"BELL, MCANDREWS, & HILTACHK, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1654,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
12/16/2019,"STEWARDSHIP MARKETING SERVICES, INC.","INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",,1625,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
11/20/2019,"STEWARDSHIP MARKETING SERVICES, INC.",CAMPAIGN CONSULTANTS,,1540,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
01/03/2020,"DATA REPLY, INC.","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1471,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
12/16/2019,"BELL, MCANDREWS, & HILTACHK, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1427,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
04/14/2020,"STEWARDSHIP MARKETING SERVICES, INC.",CAMPAIGN CONSULTANTS,,1247,"PROTECT PROP. 13, NO ON 15, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",oppose
